-368.39036687859004,144.58164864900223,-500.0,-162.35881786263363,-37.24819900551142,-0.08392708001099447
-361.63734371965216,137.11186449697001,-500.0,-161.09215029769547,-35.99935606622106,-0.08026552277252645
-354.89081700023957,129.97612304267105,-500.0,-159.8044585794605,-34.76403896641153,-0.07695364155080124
-348.1501023045897,123.15747962309612,-500.0,-158.4951030298973,-33.54198275797345,-0.07392031262741658
-341.4145451734037,116.64001419734043,-500.0,-157.16346713786652,-32.33293980625164,-0.07111350924155571
-334.6835306632533,110.40874751133725,-500.0,-155.80896283949346,-31.136680781745028,-0.06849507187931263
-327.95649091476633,104.44956674891948,-500.0,-154.43103428739613,-29.952995479268864,-0.06603685545824414
-321.23291078992344,98.74915891956198,-500.0,-153.0291599205169,-28.78169345782915,-0.06371790217178358
-314.5123320115989,93.29495089308563,-500.0,-151.60285343035042,-27.622604498747044,-0.06152237643626068
-307.7954447895931,88.0751162388046,-500.0,-150.1516288491181,-26.49241381797115,-0.05943244674186672
-301.08494308162835,83.07843319158968,-500.0,-148.67521087008538,-25.42435333358393,-0.0574256542025472
-294.3825108885462,78.29393757616175,-500.0,-147.17387317318864,-24.41475792974508,-0.05549423949411884
-287.6898407144454,73.71108138591013,-500.0,-145.64805628396124,-23.46022196125213,-0.05363225823407761
-281.00862445692206,69.31972533251056,-500.0,-144.0983387876774,-22.557586182253694,-0.05183509642710951
-274.3405452708459,65.11013052833937,-500.0,-142.52541213709299,-21.703924853573675,-0.05009911832860574
-267.68727042619093,61.0729495606535,-500.0,-140.93005861378705,-20.896533093261183,-0.04842141199783583
-261.05044513914515,57.19921717000313,-500.0,-139.31313204835683,-20.132914523747424,-0.04679960661543775
-254.43168732680547,53.4803407046424,-500.0,-137.6755409475694,-19.410769258531644,-0.04523174224631051
-247.83258321639352,49.90809048760795,-500.0,-136.0182337164875,-18.72798226179322,-0.04371617768409288
-241.25468372786003,46.47459020324821,-500.0,-134.34218570029975,-18.082612105796308,-0.042251525726779274
-234.6995015421771,43.17230738483825,-500.0,-132.64838780403505,-17.47288014343685,-0.04083660801264424
-228.16850876513703,39.99404406397099,-500.0,-130.93783647857228,-16.89716010674618,-0.03947042362326343
-221.66313542414198,36.9329280374825,-497.53083448553815,-129.21152604473062,-16.35396795887263,-0.03815213030618096
-215.18476666248674,33.982402203584876,-489.97498713305635,-127.47043601711397,-15.841953099074056,-0.03688101399357985
-208.73474389987788,31.136218705244126,-482.3448354702941,-125.71553187361441,-15.359888084744968,-0.035656504656240914
-202.31436241238202,28.388428536382342,-474.64269687107037,-123.9477534665511,-14.90666075679415,-0.0344781461574933
-195.92487113240574,25.733373942944567,-466.8708372966504,-122.16801095994629,-14.48126574963868,-0.033345595479709896
-189.56747213450961,23.16568054702782,-459.03146011066394,-120.37717990215799,-14.082796614742977,-0.0322586162519886
-183.24332017909614,20.68024972099044,-451.12669595264487,-118.57609679840166,-13.710438331806373,-0.031217072428560536
-176.95352225912586,18.27225119965297,-443.15859350334887,-116.76555512086973,-13.363460193366283,-0.030220921765466428
-170.69913710060987,15.937115916042252,-435.1291110062189,-114.94630170418507,-13.041209047788815,-0.029270208873868272
-164.48117457306122,13.670529044173371,-427.04010843663264,-113.1190334829056,-12.743102885090362,-0.02836505772278186
-158.30059497125885,11.468423230903436,-418.89334023421367,-111.2843945356695,-12.468624749756014,-0.02750566353107786
-152.15830813459434,9.326971997795866,-410.690448534023,-109.44297340746954,-12.217316964651411,-0.026692284035723848
-146.0551723749234,7.242583293123229,-402.4329568502584,-107.59530068757364,-11.98877565022591,-0.02592523015594656
-140.15506596292374,5.2351787919598465,-394.12926130645343,-105.74288376558195,-11.77873647495338,-0.025217757056348118
-134.53794516000585,3.3154948458604885,-385.78228052410617,-103.88561536733005,-11.585084373320962,-0.024573400030196677
-129.19071522680474,1.4814600771340203,-377.3908882236791,-102.02263791431261,-11.408001616643535,-0.023986553836271563
-124.10072117316876,-0.2691445631781235,-368.9543076072181,-100.15323910493399,-11.247494851183212,-0.02345175340701201
-119.255744159452,-1.9386526376310016,-360.47206104341916,-98.2768324567005,-11.103418341460259,-0.022963694518123304
-114.64399740834807,-3.529483673279234,-351.9439274054292,-96.39294055868314,-10.975494619846984,-0.022517250375003996
-110.25412155677863,-5.044118667235313,-343.3699058906327,-94.50118063778135,-10.86333285804206,-0.0221074845962136
-106.07517941728291,-6.4850791555961,-334.75018532547233,-92.60125209916362,-10.76644523280498,-0.02172966102706995
